State,Governor
AK,Mike Dunleavy
AL,Kay Ivey
AR,Asa Hutchinson
AZ,Doug Ducey
CA,Gavin Newsom
CO,Jared Polis
CT,Ned Lamont
DE,John Carney
FL,Ron DeSantis
GA,Brian Kemp
HI,David Ige
IA,Kim Reynolds
ID,Brad Little
IL,J.B. Pritzker
IN,Eric J. Holcomb
KS,Laura Kelly
KY,Andy Beshear
LA,John Bel Edwards
MA,Charlie Baker
MD,Larry Hogan
ME,Janet Mills
MI,Gretchen Whitmer
MN,Tim Walz
MO,Michael L. Parson
MS,Tate Reeves
MT,Greg Gianforte
NC,Roy Cooper
ND,Doug Burgum
NE,Pete Ricketts
NH,Chris Sununu
NJ,Phil Murphy
NM,Michelle Lujan Grisham
NV,Steve Sisolak
NY,Andrew M. Cuomo
OH,Mike DeWine
OK,Kevin Stitt
OR,Kate Brown
PA,Tom Wolf
RI,Daniel J. McKee
SC,Henry McMaster
SD,Kristi Noem
TN,Bill Lee
TX,Greg Abbott
UT,Spencer J. Cox
VA,Ralph S. Northam
VT,Phil Scott
WA,Jay Inslee
WI,Tony Evers
WV,Jim Justice
WY,Mark Gordon
